"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R1","AXIAL-0.3","29.337mm","38.4302mm","29.337mm","38.4302mm","33.147mm","38.4302mm","T","180.00","100"
"R2","AXIAL-0.3","27.813mm","33.7312mm","27.813mm","33.7312mm","31.623mm","33.7312mm","T","180.00","100"
"R3","AXIAL-0.3","27.8384mm","29.3624mm","27.8384mm","29.3624mm","31.6484mm","29.3624mm","T","180.00","100"
"R4","AXIAL-0.3","27.7876mm","24.7142mm","27.7876mm","24.7142mm","31.5976mm","24.7142mm","T","180.00","100"
"OpAmp","UA741","78.6206mm","27.8384mm","75.9206mm","29.7434mm","75.9206mm","29.7434mm","T","360.00","UA741"
"PresAmp","R_8","74.6252mm","37.1094mm","74.6252mm","37.1094mm","72.7202mm","34.7472mm","T","90.00","AD627ARZ"
"PressureCon","PRESSURE_CONNECTOR","83.2674mm","34.1336mm","82.0674mm","33.8836mm","83.2674mm","31.0086mm","T","90.00","PressureConnector"
"Q5","TO-92A","85.1916mm","24.5618mm","85.1916mm","24.5618mm","86.4616mm","24.5618mm","T","90.00","2N3906"
"R11","AXIAL-0.3","82.7786mm","20.6248mm","82.7786mm","20.6248mm","78.9686mm","20.6248mm","T","360.00","1000"
"R12","AXIAL-0.3","82.9564mm","17.399mm","82.9564mm","17.399mm","86.7664mm","17.399mm","T","180.00","1000"
"R15","AXIAL-0.3","82.8802mm","14.4526mm","82.8802mm","14.4526mm","86.6902mm","14.4526mm","T","180.00","1000"
"RPOT","VR5","72.0344mm","20.9042mm","72.0344mm","20.9042mm","72.0344mm","18.3642mm","T","90.00","100K"
"JUMP6","JUMPER(DIP2)","36.6268mm","14.1986mm","36.6268mm","15.4686mm","36.6268mm","15.4686mm","T","270.00","Jumper(DIP2)"

